Vardas              Pavarde             ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    Egz.    
Vardas1             Pavarde1            5       4       1       9       8       6       9       6       6       3       6       4       1       3       4       5       
Vardas2             Pavarde2            7       10      7       1       6       1       2       3       6       5       3       6       1       3       10      6       
Vardas3             Pavarde3            5       6       2       9       1       4       7       5       8       9       10      8       7       5       7       6       
Vardas4             Pavarde4            9       6       8       10      6       4       5       8       5       8       9       7       2       10      10      10      
Vardas5             Pavarde5            10      10      10      1       9       10      7       7       2       2       8       8       10      7       7       3       
Vardas6             Pavarde6            2       1       9       9       5       10      6       6       10      3       9       3       7       3       9       8       
Vardas7             Pavarde7            8       5       10      5       3       2       7       7       4       6       6       7       9       3       3       7       
Vardas8             Pavarde8            4       5       4       6       3       8       9       7       10      2       6       2       9       10      3       4       
Vardas9             Pavarde9            8       3       2       2       1       7       4       1       10      4       2       6       10      9       6       2       
Vardas10            Pavarde10           10      4       1       8       2       2       7       7       5       9       2       5       4       1       10      8       
Vardas11            Pavarde11           1       6       2       7       9       7       5       9       8       2       5       5       9       9       2       9       
Vardas12            Pavarde12           3       3       2       6       2       2       4       3       10      6       7       7       6       2       1       2       
Vardas13            Pavarde13           9       9       1       8       3       8       5       3       1       7       1       3       4       5       7       5       
Vardas14            Pavarde14           9       4       8       9       9       9       1       10      3       1       6       10      10      7       7       8       
Vardas15            Pavarde15           8       3       6       6       9       1       7       8       1       3       1       5       5       2       2       8       
Vardas16            Pavarde16           4       10      7       8       9       5       2       8       5       1       9       8       6       1       4       8       
Vardas17            Pavarde17           9       10      8       6       4       6       3       4       7       8       2       1       3       5       9       9       
Vardas18            Pavarde18           1       5       4       5       3       6       6       10      8       9       5       3       7       5       10      7       
Vardas19            Pavarde19           5       6       4       4       1       3       10      7       10      9       7       7       8       3       5       9       
Vardas20            Pavarde20           5       3       6       6       1       9       10      7       6       3       4       6       7       1       4       2       
Vardas21            Pavarde21           2       4       8       6       8       1       3       6       2       8       7       6       3       6       1       10      
Vardas22            Pavarde22           2       5       10      2       4       2       6       9       3       5       9       5       7       9       9       6       
Vardas23            Pavarde23           9       6       6       7       10      3       7       4       5       7       6       10      10      10      10      9       
Vardas24            Pavarde24           3       9       1       4       7       5       9       7       5       4       8       4       9       10      3       9       
Vardas25            Pavarde25           10      10      4       2       5       9       8       1       6       3       9       7       10      4       5       8       
Vardas26            Pavarde26           8       7       2       2       8       5       3       2       1       2       3       2       5       6       3       2       
Vardas27            Pavarde27           9       8       9       8       1       9       10      9       6       10      10      5       5       8       8       4       
Vardas28            Pavarde28           5       6       6       3       9       2       9       2       10      9       4       8       1       5       9       7       
Vardas29            Pavarde29           8       7       3       6       2       7       5       5       1       10      6       1       3       10      4       4       
Vardas30            Pavarde30           2       10      5       10      10      5       9       4       4       6       5       10      1       5       7       5       
Vardas31            Pavarde31           5       10      10      8       10      5       1       3       2       2       3       3       9       9       5       8       
Vardas32            Pavarde32           1       5       10      5       7       4       6       3       4       7       7       8       2       1       3       5       
Vardas33            Pavarde33           8       5       4       10      8       2       5       7       7       9       8       6       3       8       8       1       
Vardas34            Pavarde34           8       4       9       1       1       7       3       7       6       4       3       9       7       2       3       5       
Vardas35            Pavarde35           9       6       2       3       2       3       1       9       2       3       10      7       10      3       3       7       
Vardas36            Pavarde36           4       8       3       10      4       7       3       10      4       8       1       1       2       6       10      6       
Vardas37            Pavarde37           7       3       4       6       9       10      10      4       7       8       8       3       1       7       1       1       
Vardas38            Pavarde38           5       1       2       3       10      2       5       9       10      2       2       10      4       1       8       4       
Vardas39            Pavarde39           4       8       7       5       10      9       10      3       6       7       9       2       8       1       3       10      
Vardas40            Pavarde40           4       9       10      9       9       6       1       7       6       1       10      10      3       5       8       10      
Vardas41            Pavarde41           5       10      1       9       5       9       1       6       3       2       7       4       4       4       8       3       
Vardas42            Pavarde42           2       10      3       6       5       6       8       9       8       4       9       10      7       5       1       7       
Vardas43            Pavarde43           7       6       7       5       4       8       2       7       1       7       9       5       2       10      1       2       
Vardas44            Pavarde44           7       4       10      5       8       7       4       3       5       10      1       5       10      4       7       5       
Vardas45            Pavarde45           6       4       4       7       1       8       6       6       10      6       1       3       1       8       6       3       
Vardas46            Pavarde46           9       1       1       9       2       10      6       4       3       2       2       7       4       8       10      9       
Vardas47            Pavarde47           2       10      1       2       2       2       1       2       7       4       1       2       6       4       2       5       
Vardas48            Pavarde48           2       9       2       8       7       6       4       1       5       1       5       3       8       1       10      4       
Vardas49            Pavarde49           6       5       7       7       6       7       1       7       3       3       6       5       3       6       2       9       
Vardas50            Pavarde50           8       9       7       8       7       10      7       4       10      2       8       6       2       7       3       4       
Vardas51            Pavarde51           9       6       7       6       6       10      1       7       6       1       7       5       3       9       3       10      
Vardas52            Pavarde52           4       4       3       9       1       1       4       4       4       5       8       8       1       2       8       10      
Vardas53            Pavarde53           5       2       8       10      6       3       1       3       8       1       10      9       10      5       2       2       
Vardas54            Pavarde54           8       7       5       8       1       4       7       9       1       10      2       2       10      1       7       9       
Vardas55            Pavarde55           1       3       8       6       7       2       10      4       3       8       1       3       6       8       2       10      
Vardas56            Pavarde56           4       6       8       1       10      4       9       10      6       7       4       10      3       1       1       5       
Vardas57            Pavarde57           3       5       8       6       1       3       1       4       5       10      5       6       5       3       6       9       
Vardas58            Pavarde58           7       1       7       2       1       1       8       9       8       7       2       5       10      8       4       4       
Vardas59            Pavarde59           7       2       2       2       2       6       7       9       3       1       6       10      1       10      9       1       
Vardas60            Pavarde60           5       1       4       10      6       3       9       3       7       9       8       4       9       8       10      9       
Vardas61            Pavarde61           5       2       2       1       8       3       9       4       8       8       9       6       6       9       8       10      
Vardas62            Pavarde62           6       9       9       9       9       2       8       1       4       9       6       3       4       8       10      7       
Vardas63            Pavarde63           9       7       9       8       7       4       4       9       8       7       4       5       8       7       7       9       
Vardas64            Pavarde64           10      2       7       4       1       3       6       3       3       5       5       7       3       4       5       7       
Vardas65            Pavarde65           1       5       8       6       6       3       7       8       8       8       7       5       5       6       7       9       
Vardas66            Pavarde66           6       3       4       10      7       9       10      6       4       5       8       6       4       8       7       1       
Vardas67            Pavarde67           7       9       1       7       5       10      2       9       2       4       1       9       1       7       3       1       
Vardas68            Pavarde68           10      1       3       9       7       10      7       3       7       2       7       5       2       3       10      8       
Vardas69            Pavarde69           1       8       2       1       9       4       4       5       6       7       3       7       3       8       2       9       
Vardas70            Pavarde70           4       1       7       4       2       6       10      9       8       7       9       7       5       9       7       3       
Vardas71            Pavarde71           6       8       8       4       1       2       6       1       4       3       9       8       5       1       9       1       
Vardas72            Pavarde72           7       10      9       10      2       9       10      4       7       9       10      8       9       3       4       8       
Vardas73            Pavarde73           2       7       3       2       7       9       9       1       2       9       5       3       3       7       7       7       
Vardas74            Pavarde74           3       5       10      8       7       8       4       4       2       3       2       1       6       9       6       8       
Vardas75            Pavarde75           1       8       6       7       3       1       2       3       3       5       10      10      1       8       1       7       
Vardas76            Pavarde76           6       4       10      6       1       7       2       6       7       10      9       9       8       9       8       5       
Vardas77            Pavarde77           5       3       10      9       9       9       8       7       1       8       10      6       9       3       3       1       
Vardas78            Pavarde78           10      5       10      10      8       6       1       5       7       1       7       9       7       6       5       4       
Vardas79            Pavarde79           8       8       10      8       3       1       6       9       5       10      8       10      6       10      2       3       
Vardas80            Pavarde80           5       6       4       9       2       8       4       3       4       1       9       7       1       8       10      6       
Vardas81            Pavarde81           6       2       9       8       10      1       4       6       2       9       9       10      1       5       10      7       
Vardas82            Pavarde82           10      2       5       10      6       5       8       7       5       3       9       9       7       9       8       5       
Vardas83            Pavarde83           3       3       6       4       10      10      7       9       4       4       6       3       8       5       8       7       
Vardas84            Pavarde84           10      7       7       8       10      10      8       6       3       5       10      8       9       4       8       7       
Vardas85            Pavarde85           6       9       6       7       8       10      3       10      1       7       10      9       2       10      4       8       
Vardas86            Pavarde86           5       7       3       7       5       6       9       4       3       7       5       1       10      8       10      7       
Vardas87            Pavarde87           5       1       9       8       4       1       9       9       5       8       6       3       5       4       3       3       
Vardas88            Pavarde88           2       1       4       7       4       6       8       4       8       3       2       10      1       2       5       7       
Vardas89            Pavarde89           10      7       10      1       1       3       7       3       4       6       9       4       9       2       6       1       
Vardas90            Pavarde90           1       8       8       10      9       4       3       7       10      10      3       8       4       4       3       1       
Vardas91            Pavarde91           7       6       2       6       3       7       10      5       1       5       3       8       8       8       5       6       
Vardas92            Pavarde92           6       10      9       6       8       2       9       1       8       1       6       8       5       4       10      1       
Vardas93            Pavarde93           10      2       10      10      10      6       3       7       8       5       3       10      4       4       7       2       
Vardas94            Pavarde94           5       7       2       5       4       10      9       3       1       8       7       2       9       10      1       8       
Vardas95            Pavarde95           7       9       1       10      5       4       6       2       8       5       10      3       1       7       4       4       
Vardas96            Pavarde96           10      8       5       7       10      7       8       8       3       1       7       1       3       10      7       6       
Vardas97            Pavarde97           2       4       10      3       8       9       10      5       9       10      5       7       9       9       2       1       
Vardas98            Pavarde98           9       5       1       4       2       10      9       6       9       4       7       10      7       9       8       6       
Vardas99            Pavarde99           1       1       4       2       10      7       5       5       8       4       9       2       7       7       8       4       
Vardas100           Pavarde100          9       10      3       10      5       4       3       7       3       10      9       3       2       5       10      3       
Vardas101           Pavarde101          8       10      2       3       5       7       10      2       5       5       3       4       7       7       8       8       
Vardas102           Pavarde102          2       1       6       4       7       7       3       8       5       8       10      4       10      8       8       6       
Vardas103           Pavarde103          2       6       10      10      6       7       1       10      8       10      2       3       9       5       8       9       
Vardas104           Pavarde104          3       3       1       7       10      8       4       6       2       7       6       4       3       8       10      5       
Vardas105           Pavarde105          3       4       9       10      9       7       7       6       2       9       10      7       3       6       4       7       
Vardas106           Pavarde106          3       7       1       4       4       1       1       4       6       4       1       8       9       8       1       4       
Vardas107           Pavarde107          1       4       9       4       8       4       3       9       1       10      8       10      1       6       5       7       
Vardas108           Pavarde108          8       5       5       9       1       8       8       2       6       6       7       7       4       2       8       3       
Vardas109           Pavarde109          8       10      2       2       5       7       5       4       8       1       4       4       3       3       5       10      
Vardas110           Pavarde110          2       1       2       2       7       8       2       10      10      10      8       10      8       6       4       6       
Vardas111           Pavarde111          10      6       5       3       10      8       5       3       1       1       2       9       5       2       7       10      
Vardas112           Pavarde112          3       7       2       6       6       7       2       4       9       3       1       3       9       5       4       9       
Vardas113           Pavarde113          1       4       7       5       4       3       10      4       9       2       9       5       4       2       9       5       
Vardas114           Pavarde114          1       6       10      8       8       3       9       6       3       6       8       2       7       2       9       6       
Vardas115           Pavarde115          7       5       4       9       9       5       8       3       10      10      4       6       5       3       4       10      
Vardas116           Pavarde116          5       3       7       2       10      2       2       2       10      3       2       6       1       3       10      5       
Vardas117           Pavarde117          1       6       1       8       2       4       2       6       10      10      3       6       10      7       7       9       
Vardas118           Pavarde118          5       10      2       9       4       5       2       10      8       6       8       8       1       4       9       6       
Vardas119           Pavarde119          9       1       6       10      7       8       3       5       8       5       2       6       6       10      7       6       
Vardas120           Pavarde120          10      5       6       6       9       7       10      8       9       5       8       4       5       10      7       4       
Vardas121           Pavarde121          5       4       2       6       7       3       10      6       9       5       6       7       9       4       9       1       
Vardas122           Pavarde122          10      8       8       6       4       10      10      4       8       1       4       1       1       9       8       4       
Vardas123           Pavarde123          1       7       1       7       4       6       2       5       3       4       3       4       9       10      2       1       
Vardas124           Pavarde124          4       7       5       9       1       10      1       8       6       5       4       2       7       7       6       7       
Vardas125           Pavarde125          3       1       8       10      6       10      4       2       5       7       2       3       4       7       7       1       
Vardas126           Pavarde126          10      3       7       7       8       8       3       2       5       9       2       9       5       2       3       1       
Vardas127           Pavarde127          7       5       2       1       2       7       5       8       3       4       7       8       1       5       4       5       
Vardas128           Pavarde128          10      7       5       3       2       4       6       6       6       5       1       1       9       7       5       6       
Vardas129           Pavarde129          3       9       6       2       8       1       2       2       10      9       10      6       4       4       8       6       
Vardas130           Pavarde130          1       3       7       8       5       8       3       7       3       5       10      5       2       5       9       7       
Vardas131           Pavarde131          7       5       7       8       7       2       7       9       10      9       10      10      8       5       8       9       
Vardas132           Pavarde132          9       7       5       9       8       7       7       10      4       10      5       3       10      8       10      5       
Vardas133           Pavarde133          5       7       5       6       1       3       5       1       5       4       8       10      1       8       9       4       
Vardas134           Pavarde134          7       2       4       2       3       7       8       5       3       7       7       1       9       10      7       2       
Vardas135           Pavarde135          6       10      7       2       3       10      6       2       3       2       2       7       10      3       6       4       
Vardas136           Pavarde136          4       10      7       10      5       6       6       7       2       3       8       8       8       7       8       5       
Vardas137           Pavarde137          4       4       9       3       9       3       8       1       7       8       10      8       7       1       6       1       
Vardas138           Pavarde138          2       7       4       3       2       3       2       1       9       7       8       3       9       6       8       3       
Vardas139           Pavarde139          9       3       9       2       7       9       7       5       9       4       1       5       8       4       8       8       
Vardas140           Pavarde140          7       8       5       4       10      4       10      1       1       10      9       9       4       6       2       8       
Vardas141           Pavarde141          5       6       8       7       3       9       3       7       7       7       7       5       1       2       8       2       
Vardas142           Pavarde142          3       1       9       4       9       7       1       6       6       7       7       5       5       1       7       3       
Vardas143           Pavarde143          10      2       5       9       1       1       9       1       8       9       5       1       6       2       3       7       
Vardas144           Pavarde144          10      5       6       5       10      5       8       2       3       9       9       9       7       5       2       7       
Vardas145           Pavarde145          8       7       9       1       2       7       10      9       8       4       8       9       2       9       7       10      
Vardas146           Pavarde146          4       10      1       2       5       3       10      4       5       7       7       1       8       4       2       8       
Vardas147           Pavarde147          1       3       5       9       6       2       3       7       1       7       9       8       5       4       10      8       
Vardas148           Pavarde148          5       2       2       1       9       9       6       5       4       9       4       10      7       1       10      1       
Vardas149           Pavarde149          2       3       3       4       10      4       6       1       5       6       3       7       5       2       9       5       
Vardas150           Pavarde150          10      2       7       5       7       1       5       1       10      7       1       9       2       6       4       1       
Vardas151           Pavarde151          3       3       1       4       10      7       2       7       4       3       7       4       1       2       1       3       
Vardas152           Pavarde152          5       8       8       5       7       10      4       7       2       1       8       10      4       9       5       8       
Vardas153           Pavarde153          6       7       10      2       5       7       10      7       2       5       4       1       7       5       4       3       
Vardas154           Pavarde154          4       10      7       1       6       10      9       10      3       10      7       8       8       1       2       8       
Vardas155           Pavarde155          4       7       10      7       5       9       9       7       9       8       2       1       5       6       2       4       
Vardas156           Pavarde156          5       5       1       10      7       3       7       2       9       9       3       6       4       6       10      4       
Vardas157           Pavarde157          3       2       6       3       8       2       4       7       10      10      2       3       3       6       2       7       
Vardas158           Pavarde158          2       9       9       3       1       9       10      6       5       6       9       4       4       1       10      5       
Vardas159           Pavarde159          1       5       3       3       1       2       4       2       3       2       7       10      4       5       6       1       
Vardas160           Pavarde160          3       8       5       4       9       5       6       8       3       5       9       5       3       8       3       4       
Vardas161           Pavarde161          2       3       1       5       4       9       2       5       4       9       6       8       10      5       1       2       
Vardas162           Pavarde162          10      5       4       4       9       3       10      3       5       8       7       4       1       5       10      4       
Vardas163           Pavarde163          9       1       10      6       6       5       8       7       9       1       4       10      5       2       1       4       
Vardas164           Pavarde164          3       9       8       10      6       3       3       4       7       6       2       3       5       9       10      1       
Vardas165           Pavarde165          10      6       7       7       3       1       9       6       8       2       8       9       10      7       6       8       
Vardas166           Pavarde166          1       6       7       8       8       3       1       3       9       2       8       8       1       4       10      1       
Vardas167           Pavarde167          4       5       4       3       4       6       4       8       3       6       7       1       9       3       9       5       
Vardas168           Pavarde168          8       2       6       8       7       7       4       3       9       1       6       10      2       9       8       7       
Vardas169           Pavarde169          7       1       10      2       9       7       10      8       2       3       9       9       4       10      5       1       
Vardas170           Pavarde170          1       3       10      9       1       6       1       1       5       4       9       2       4       2       9       10      
Vardas171           Pavarde171          2       7       10      4       10      3       10      9       5       9       1       7       3       10      6       5       
Vardas172           Pavarde172          1       9       7       2       6       9       10      3       3       8       8       7       3       3       10      10      
Vardas173           Pavarde173          2       7       10      3       3       5       5       8       2       8       5       10      2       5       6       4       
